ID1,ID2,r,r_cat
6002115,6002790,0.25,"[0.25,0.5)"
6002115,6002791,0.25,"[0.25,0.5)"
6002116,6002027,0.5,"[0.5,1)"
6002116,6002028,0.25,"[0.25,0.5)"
6002116,6002117,0.5,"[0.5,1)"
6002116,6002119,0.25,"[0.25,0.5)"
6002116,6002120,0.25,"[0.25,0.5)"
6002116,6002184,0.5,"[0.5,1)"
6002116,6002186,0.25,"[0.25,0.5)"
6002116,6002721,0.5,"[0.5,1)"
6002116,6002722,0.5,"[0.5,1)"
6002117,6002027,0.25,"[0.25,0.5)"
6002117,6002028,0.125,"[0.125,0.25)"
6002117,6002116,0.5,"[0.5,1)"
6002117,6002119,0.5,"[0.5,1)"
6002117,6002120,0.5,"[0.5,1)"
6002117,6002184,0.5,"[0.5,1)"
6002117,6002186,0.25,"[0.25,0.5)"
6002117,6002721,0.25,"[0.25,0.5)"
6002117,6002722,0.25,"[0.25,0.5)"
6002117,6002792,0.5,"[0.5,1)"
6002118,6002119,0.5,"[0.5,1)"
6002118,6002120,0.5,"[0.5,1)"
6002118,6002121,0.5,"[0.5,1)"
6002118,6002123,0.25,"[0.25,0.5)"
6002118,6002793,0.5,"[0.5,1)"
6002118,6002794,0.5,"[0.5,1)"
6002119,6002027,0.125,"[0.125,0.25)"
6002119,6002028,0.0625,"[0,0.125)"
6002119,6002116,0.25,"[0.25,0.5)"
6002119,6002117,0.5,"[0.5,1)"
6002119,6002118,0.5,"[0.5,1)"
6002119,6002120,0.5,"[0.5,1)"
6002119,6002121,0.25,"[0.25,0.5)"
6002119,6002123,0.125,"[0.125,0.25)"
6002119,6002184,0.25,"[0.25,0.5)"
6002119,6002186,0.125,"[0.125,0.25)"
6002119,6002721,0.125,"[0.125,0.25)"
6002119,6002722,0.125,"[0.125,0.25)"
6002119,6002792,0.25,"[0.25,0.5)"
6002119,6002793,0.25,"[0.25,0.5)"
6002119,6002794,0.25,"[0.25,0.5)"
6002120,6002027,0.125,"[0.125,0.25)"
6002120,6002028,0.0625,"[0,0.125)"
6002120,6002116,0.25,"[0.25,0.5)"
6002120,6002117,0.5,"[0.5,1)"
6002120,6002118,0.5,"[0.5,1)"
6002120,6002119,0.5,"[0.5,1)"
6002120,6002121,0.25,"[0.25,0.5)"
6002120,6002123,0.125,"[0.125,0.25)"
6002120,6002184,0.25,"[0.25,0.5)"
6002120,6002186,0.125,"[0.125,0.25)"
6002120,6002721,0.125,"[0.125,0.25)"
6002120,6002722,0.125,"[0.125,0.25)"
6002120,6002792,0.25,"[0.25,0.5)"
6002120,6002793,0.25,"[0.25,0.5)"
6002120,6002794,0.25,"[0.25,0.5)"
6002121,6002118,0.5,"[0.5,1)"
6002121,6002119,0.25,"[0.25,0.5)"
6002121,6002120,0.25,"[0.25,0.5)"
6002121,6002123,0.5,"[0.5,1)"
6002121,6002793,0.5,"[0.5,1)"
6002121,6002794,0.5,"[0.5,1)"
6002122,6002059,0.5,"[0.5,1)"
6002122,6002061,0.25,"[0.25,0.5)"
6002122,6002063,0.25,"[0.25,0.5)"
6002122,6002065,0.125,"[0.125,0.25)"
6002122,6002066,0.125,"[0.125,0.25)"
6002122,6002067,0.125,"[0.125,0.25)"
6002122,6002123,0.5,"[0.5,1)"
6002122,6002150,0.125,"[0.125,0.25)"
6002122,6002152,0.0625,"[0,0.125)"
6002122,6002188,0.5,"[0.5,1)"
6002122,6002189,0.5,"[0.5,1)"
6002122,6002190,0.25,"[0.25,0.5)"
6002122,6002220,0.125,"[0.125,0.25)"
6002122,6002221,0.0625,"[0,0.125)"
6002122,6002222,0.0625,"[0,0.125)"
6002122,6002490,0.25,"[0.25,0.5)"
6002122,6002491,0.125,"[0.125,0.25)"
6002122,6002492,0.0625,"[0,0.125)"
6002122,6002494,0.0625,"[0,0.125)"
6002122,6002495,0.03125,"[0,0.125)"
6002122,6002496,0.03125,"[0,0.125)"
6002122,6002748,0.5,"[0.5,1)"
6002122,6002844,0.25,"[0.25,0.5)"
6002122,6002845,0.25,"[0.25,0.5)"
6002123,6002059,0.25,"[0.25,0.5)"
6002123,6002061,0.125,"[0.125,0.25)"
6002123,6002063,0.125,"[0.125,0.25)"
6002123,6002065,0.0625,"[0,0.125)"
6002123,6002066,0.0625,"[0,0.125)"
6002123,6002067,0.0625,"[0,0.125)"
6002123,6002118,0.25,"[0.25,0.5)"
6002123,6002119,0.125,"[0.125,0.25)"
6002123,6002120,0.125,"[0.125,0.25)"
6002123,6002121,0.5,"[0.5,1)"
6002123,6002122,0.5,"[0.5,1)"
6002123,6002150,0.0625,"[0,0.125)"
6002123,6002152,0.03125,"[0,0.125)"
6002123,6002188,0.25,"[0.25,0.5)"
6002123,6002189,0.25,"[0.25,0.5)"
6002123,6002190,0.125,"[0.125,0.25)"
6002123,6002220,0.0625,"[0,0.125)"
6002123,6002221,0.03125,"[0,0.125)"
6002123,6002222,0.03125,"[0,0.125)"
6002123,6002490,0.125,"[0.125,0.25)"
6002123,6002491,0.0625,"[0,0.125)"
6002123,6002492,0.03125,"[0,0.125)"
6002123,6002494,0.03125,"[0,0.125)"
6002123,6002495,0.015625,"[0,0.125)"
6002123,6002496,0.015625,"[0,0.125)"
6002123,6002748,0.25,"[0.25,0.5)"
6002123,6002793,0.25,"[0.25,0.5)"
6002123,6002794,0.25,"[0.25,0.5)"
6002123,6002844,0.125,"[0.125,0.25)"
6002123,6002845,0.125,"[0.125,0.25)"
6002124,6002125,0.5,"[0.5,1)"
6002124,6002126,0.5,"[0.5,1)"
6002124,6002128,0.25,"[0.25,0.5)"
6002124,6002129,0.25,"[0.25,0.5)"
6002124,6002365,0.5,"[0.5,1)"
6002124,6002366,0.25,"[0.25,0.5)"
6002124,6002367,0.25,"[0.25,0.5)"
6002124,6002368,0.25,"[0.25,0.5)"
6002124,6002795,0.5,"[0.5,1)"
6002124,6002796,0.5,"[0.5,1)"
6002125,6002124,0.5,"[0.5,1)"
6002125,6002126,0.5,"[0.5,1)"
6002125,6002128,0.25,"[0.25,0.5)"
6002125,6002129,0.25,"[0.25,0.5)"
6002125,6002365,0.5,"[0.5,1)"
6002125,6002366,0.25,"[0.25,0.5)"
6002125,6002367,0.25,"[0.25,0.5)"
6002125,6002368,0.25,"[0.25,0.5)"
6002125,6002795,0.25,"[0.25,0.5)"
6002125,6002796,0.25,"[0.25,0.5)"
6002125,6002797,0.5,"[0.5,1)"
6002126,6002124,0.5,"[0.5,1)"
6002126,6002125,0.5,"[0.5,1)"
6002126,6002128,0.5,"[0.5,1)"
6002126,6002129,0.5,"[0.5,1)"
6002126,6002365,0.5,"[0.5,1)"
6002126,6002366,0.25,"[0.25,0.5)"
6002126,6002367,0.25,"[0.25,0.5)"
6002126,6002368,0.25,"[0.25,0.5)"
6002126,6002795,0.25,"[0.25,0.5)"
6002126,6002796,0.25,"[0.25,0.5)"
6002126,6002797,0.5,"[0.5,1)"
6002127,6002128,0.5,"[0.5,1)"
6002127,6002129,0.5,"[0.5,1)"
6002127,6002798,0.5,"[0.5,1)"
6002127,6002799,0.5,"[0.5,1)"
6002128,6002124,0.25,"[0.25,0.5)"
6002128,6002125,0.25,"[0.25,0.5)"
6002128,6002126,0.5,"[0.5,1)"
6002128,6002127,0.5,"[0.5,1)"
6002128,6002129,0.5,"[0.5,1)"
6002128,6002365,0.25,"[0.25,0.5)"
6002128,6002366,0.125,"[0.125,0.25)"
6002128,6002367,0.125,"[0.125,0.25)"
6002128,6002368,0.125,"[0.125,0.25)"
6002128,6002795,0.125,"[0.125,0.25)"
6002128,6002796,0.125,"[0.125,0.25)"
6002128,6002797,0.25,"[0.25,0.5)"
6002128,6002798,0.25,"[0.25,0.5)"
6002128,6002799,0.25,"[0.25,0.5)"
6002129,6002124,0.25,"[0.25,0.5)"
6002129,6002125,0.25,"[0.25,0.5)"
6002129,6002126,0.5,"[0.5,1)"
6002129,6002127,0.5,"[0.5,1)"
6002129,6002128,0.5,"[0.5,1)"
6002129,6002365,0.25,"[0.25,0.5)"
6002129,6002366,0.125,"[0.125,0.25)"
6002129,6002367,0.125,"[0.125,0.25)"
6002129,6002368,0.125,"[0.125,0.25)"
6002129,6002795,0.125,"[0.125,0.25)"
6002129,6002796,0.125,"[0.125,0.25)"
6002129,6002797,0.25,"[0.25,0.5)"
6002129,6002798,0.25,"[0.25,0.5)"
6002129,6002799,0.25,"[0.25,0.5)"
6002130,6002132,0.5,"[0.5,1)"
6002130,6002133,0.5,"[0.5,1)"
6002130,6002802,0.5,"[0.5,1)"
6002130,6002803,0.5,"[0.5,1)"
6002131,6002132,0.5,"[0.5,1)"
6002131,6002133,0.5,"[0.5,1)"
6002131,6002325,0.5,"[0.5,1)"
6002131,6002326,0.25,"[0.25,0.5)"
6002131,6002327,0.25,"[0.25,0.5)"
6002131,6002404,0.5,"[0.5,1)"
6002131,6002405,0.25,"[0.25,0.5)"
6002131,6002407,0.125,"[0.125,0.25)"
6002131,6002800,0.5,"[0.5,1)"
6002131,6002801,0.5,"[0.5,1)"
6002132,6002130,0.5,"[0.5,1)"
6002132,6002131,0.5,"[0.5,1)"
6002132,6002133,0.5,"[0.5,1)"
6002132,6002325,0.25,"[0.25,0.5)"
6002132,6002326,0.125,"[0.125,0.25)"
6002132,6002327,0.125,"[0.125,0.25)"
6002132,6002404,0.25,"[0.25,0.5)"
6002132,6002405,0.125,"[0.125,0.25)"
6002132,6002407,0.0625,"[0,0.125)"
6002132,6002800,0.25,"[0.25,0.5)"
6002132,6002801,0.25,"[0.25,0.5)"
6002132,6002802,0.25,"[0.25,0.5)"
6002132,6002803,0.25,"[0.25,0.5)"
6002133,6002130,0.5,"[0.5,1)"
6002133,6002131,0.5,"[0.5,1)"
6002133,6002132,0.5,"[0.5,1)"
6002133,6002325,0.25,"[0.25,0.5)"
6002133,6002326,0.125,"[0.125,0.25)"
6002133,6002327,0.125,"[0.125,0.25)"
6002133,6002404,0.25,"[0.25,0.5)"
6002133,6002405,0.125,"[0.125,0.25)"
6002133,6002407,0.0625,"[0,0.125)"
6002133,6002800,0.25,"[0.25,0.5)"
6002133,6002801,0.25,"[0.25,0.5)"
6002133,6002802,0.25,"[0.25,0.5)"
6002133,6002803,0.25,"[0.25,0.5)"
6002134,6002136,0.5,"[0.5,1)"
6002134,6002138,0.25,"[0.25,0.5)"
6002134,6002287,0.5,"[0.5,1)"
6002134,6002289,0.25,"[0.25,0.5)"
6002134,6002804,0.5,"[0.5,1)"
6002134,6002805,0.5,"[0.5,1)"
6002135,6002136,0.5,"[0.5,1)"
6002135,6002138,0.25,"[0.25,0.5)"
6002135,6002287,0.5,"[0.5,1)"
6002135,6002289,0.25,"[0.25,0.5)"
6002135,6002806,0.5,"[0.5,1)"
6002135,6002807,0.5,"[0.5,1)"
6002136,6002134,0.5,"[0.5,1)"
6002136,6002135,0.5,"[0.5,1)"
6002136,6002138,0.5,"[0.5,1)"
6002136,6002287,0.5,"[0.5,1)"
6002136,6002289,0.25,"[0.25,0.5)"
6002136,6002804,0.25,"[0.25,0.5)"
6002136,6002805,0.25,"[0.25,0.5)"
6002136,6002806,0.25,"[0.25,0.5)"
6002136,6002807,0.25,"[0.25,0.5)"
6002137,6002138,0.5,"[0.5,1)"
6002137,6002808,0.5,"[0.5,1)"
6002137,6002809,0.5,"[0.5,1)"
6002138,6002134,0.25,"[0.25,0.5)"
6002138,6002135,0.25,"[0.25,0.5)"
6002138,6002136,0.5,"[0.5,1)"
6002138,6002137,0.5,"[0.5,1)"
6002138,6002287,0.25,"[0.25,0.5)"
6002138,6002289,0.125,"[0.125,0.25)"
6002138,6002804,0.125,"[0.125,0.25)"
6002138,6002805,0.125,"[0.125,0.25)"
6002138,6002806,0.125,"[0.125,0.25)"
6002138,6002807,0.125,"[0.125,0.25)"
6002138,6002808,0.25,"[0.25,0.5)"
6002138,6002809,0.25,"[0.25,0.5)"
6002139,6002052,0.5,"[0.5,1)"
6002139,6002054,0.25,"[0.25,0.5)"
6002139,6002140,0.5,"[0.5,1)"
6002139,6002141,0.5,"[0.5,1)"
6002139,6002142,0.5,"[0.5,1)"
6002139,6002143,0.5,"[0.5,1)"
6002139,6002144,0.5,"[0.5,1)"
6002139,6002274,0.5,"[0.5,1)"
6002139,6002275,0.25,"[0.25,0.5)"
6002139,6002276,0.25,"[0.25,0.5)"
6002139,6002743,0.5,"[0.5,1)"
6002139,6002810,0.25,"[0.25,0.5)"
6002139,6002811,0.25,"[0.25,0.5)"
6002140,6002052,0.5,"[0.5,1)"
6002140,6002054,0.25,"[0.25,0.5)"
6002140,6002139,0.5,"[0.5,1)"
6002140,6002141,0.5,"[0.5,1)"
6002140,6002142,0.25,"[0.25,0.5)"
6002140,6002143,0.5,"[0.5,1)"
6002140,6002144,0.5,"[0.5,1)"
6002140,6002274,0.5,"[0.5,1)"
6002140,6002275,0.25,"[0.25,0.5)"
6002140,6002276,0.25,"[0.25,0.5)"
6002140,6002810,0.5,"[0.5,1)"
6002140,6002811,0.5,"[0.5,1)"
6002141,6002052,0.5,"[0.5,1)"
6002141,6002054,0.25,"[0.25,0.5)"
6002141,6002139,0.5,"[0.5,1)"
6002141,6002140,0.5,"[0.5,1)"
6002141,6002142,0.25,"[0.25,0.5)"
6002141,6002143,0.5,"[0.5,1)"
6002141,6002144,0.5,"[0.5,1)"
6002141,6002274,0.5,"[0.5,1)"
6002141,6002275,0.25,"[0.25,0.5)"
6002141,6002276,0.25,"[0.25,0.5)"
6002141,6002743,0.5,"[0.5,1)"
6002141,6002810,0.25,"[0.25,0.5)"
6002141,6002811,0.25,"[0.25,0.5)"
6002142,6002052,0.25,"[0.25,0.5)"
6002142,6002054,0.125,"[0.125,0.25)"
6002142,6002139,0.5,"[0.5,1)"
6002142,6002140,0.25,"[0.25,0.5)"
6002142,6002141,0.25,"[0.25,0.5)"
6002142,6002143,0.25,"[0.25,0.5)"
6002142,6002144,0.25,"[0.25,0.5)"
6002142,6002274,0.25,"[0.25,0.5)"
6002142,6002275,0.125,"[0.125,0.25)"
6002142,6002276,0.125,"[0.125,0.25)"
6002142,6002743,0.25,"[0.25,0.5)"
6002142,6002810,0.125,"[0.125,0.25)"
6002142,6002811,0.125,"[0.125,0.25)"
6002142,6002812,0.5,"[0.5,1)"
6002143,6002052,0.5,"[0.5,1)"
6002143,6002054,0.25,"[0.25,0.5)"
6002143,6002139,0.5,"[0.5,1)"
6002143,6002140,0.5,"[0.5,1)"
6002143,6002141,0.5,"[0.5,1)"
6002143,6002142,0.25,"[0.25,0.5)"
6002143,6002144,0.5,"[0.5,1)"
6002143,6002274,0.5,"[0.5,1)"
6002143,6002275,0.25,"[0.25,0.5)"
6002143,6002276,0.25,"[0.25,0.5)"
6002143,6002743,0.5,"[0.5,1)"
6002143,6002810,0.25,"[0.25,0.5)"
6002143,6002811,0.25,"[0.25,0.5)"
6002144,6002052,0.5,"[0.5,1)"
6002144,6002054,0.25,"[0.25,0.5)"
6002144,6002139,0.5,"[0.5,1)"
6002144,6002140,0.5,"[0.5,1)"
6002144,6002141,0.5,"[0.5,1)"
6002144,6002142,0.25,"[0.25,0.5)"
6002144,6002143,0.5,"[0.5,1)"
6002144,6002274,0.5,"[0.5,1)"
6002144,6002275,0.25,"[0.25,0.5)"
6002144,6002276,0.25,"[0.25,0.5)"
6002144,6002743,0.5,"[0.5,1)"
6002144,6002810,0.25,"[0.25,0.5)"
6002144,6002811,0.25,"[0.25,0.5)"
6002145,6002029,0.5,"[0.5,1)"
6002145,6002031,0.25,"[0.25,0.5)"
6002145,6002146,0.5,"[0.5,1)"
6002145,6002148,0.25,"[0.25,0.5)"
6002145,6002149,0.25,"[0.25,0.5)"
6002145,6002201,0.5,"[0.5,1)"
6002145,6002203,0.25,"[0.25,0.5)"
6002145,6002204,0.25,"[0.25,0.5)"
6002145,6002206,0.5,"[0.5,1)"
6002145,6002208,0.25,"[0.25,0.5)"
6002145,6002209,0.125,"[0.125,0.25)"
6002145,6002211,0.0625,"[0,0.125)"
6002145,6002212,0.0625,"[0,0.125)"
6002145,6002379,0.25,"[0.25,0.5)"
6002145,6002380,0.125,"[0.125,0.25)"
6002145,6002381,0.125,"[0.125,0.25)"
6002145,6002382,0.125,"[0.125,0.25)"
6002145,6002408,0.25,"[0.25,0.5)"
6002145,6002409,0.5,"[0.5,1)"
6002145,6002460,0.125,"[0.125,0.25)"
6002145,6002463,0.25,"[0.25,0.5)"
6002145,6002464,0.125,"[0.125,0.25)"
6002145,6002465,0.0625,"[0,0.125)"
6002145,6002466,0.0625,"[0,0.125)"
6002145,6002813,0.5,"[0.5,1)"
6002145,6002814,0.5,"[0.5,1)"
6002146,6002029,0.5,"[0.5,1)"
6002146,6002031,0.25,"[0.25,0.5)"
6002146,6002145,0.5,"[0.5,1)"
6002146,6002148,0.5,"[0.5,1)"
6002146,6002149,0.5,"[0.5,1)"
6002146,6002201,0.5,"[0.5,1)"
6002146,6002203,0.25,"[0.25,0.5)"
6002146,6002204,0.25,"[0.25,0.5)"
6002146,6002206,0.25,"[0.25,0.5)"
6002146,6002208,0.125,"[0.125,0.25)"
6002146,6002209,0.0625,"[0,0.125)"
6002146,6002211,0.03125,"[0,0.125)"
6002146,6002212,0.03125,"[0,0.125)"
6002146,6002379,0.125,"[0.125,0.25)"
6002146,6002380,0.0625,"[0,0.125)"
6002146,6002381,0.0625,"[0,0.125)"
6002146,6002382,0.0625,"[0,0.125)"
6002146,6002408,0.25,"[0.25,0.5)"
6002146,6002409,0.5,"[0.5,1)"
6002146,6002460,0.0625,"[0,0.125)"
6002146,6002463,0.125,"[0.125,0.25)"
6002146,6002464,0.0625,"[0,0.125)"
6002146,6002465,0.03125,"[0,0.125)"
6002146,6002466,0.03125,"[0,0.125)"
6002146,6002723,0.5,"[0.5,1)"
6002146,6002813,0.25,"[0.25,0.5)"
6002146,6002814,0.25,"[0.25,0.5)"
6002147,6002148,0.5,"[0.5,1)"
6002147,6002149,0.5,"[0.5,1)"
6002147,6002815,0.5,"[0.5,1)"
6002147,6002816,0.5,"[0.5,1)"
6002148,6002029,0.25,"[0.25,0.5)"
6002148,6002031,0.125,"[0.125,0.25)"
6002148,6002145,0.25,"[0.25,0.5)"
6002148,6002146,0.5,"[0.5,1)"
6002148,6002147,0.5,"[0.5,1)"
6002148,6002149,0.5,"[0.5,1)"
6002148,6002201,0.25,"[0.25,0.5)"
6002148,6002203,0.125,"[0.125,0.25)"
6002148,6002204,0.125,"[0.125,0.25)"
6002148,6002206,0.125,"[0.125,0.25)"
6002148,6002208,0.0625,"[0,0.125)"
6002148,6002209,0.03125,"[0,0.125)"
6002148,6002211,0.015625,"[0,0.125)"
6002148,6002212,0.015625,"[0,0.125)"
6002148,6002379,0.0625,"[0,0.125)"
6002148,6002380,0.03125,"[0,0.125)"
6002148,6002381,0.03125,"[0,0.125)"
6002148,6002382,0.03125,"[0,0.125)"
6002148,6002408,0.125,"[0.125,0.25)"
6002148,6002409,0.25,"[0.25,0.5)"
6002148,6002460,0.03125,"[0,0.125)"
6002148,6002463,0.0625,"[0,0.125)"
6002148,6002464,0.03125,"[0,0.125)"
6002148,6002465,0.015625,"[0,0.125)"
6002148,6002466,0.015625,"[0,0.125)"
6002148,6002723,0.25,"[0.25,0.5)"
6002148,6002813,0.125,"[0.125,0.25)"
6002148,6002814,0.125,"[0.125,0.25)"
6002148,6002815,0.25,"[0.25,0.5)"
6002148,6002816,0.25,"[0.25,0.5)"
6002149,6002029,0.25,"[0.25,0.5)"
6002149,6002031,0.125,"[0.125,0.25)"
6002149,6002145,0.25,"[0.25,0.5)"
6002149,6002146,0.5,"[0.5,1)"
6002149,6002147,0.5,"[0.5,1)"
6002149,6002148,0.5,"[0.5,1)"
6002149,6002201,0.25,"[0.25,0.5)"
6002149,6002203,0.125,"[0.125,0.25)"
6002149,6002204,0.125,"[0.125,0.25)"
6002149,6002206,0.125,"[0.125,0.25)"
6002149,6002208,0.0625,"[0,0.125)"
6002149,6002209,0.03125,"[0,0.125)"
6002149,6002211,0.015625,"[0,0.125)"
6002149,6002212,0.015625,"[0,0.125)"
6002149,6002379,0.0625,"[0,0.125)"
6002149,6002380,0.03125,"[0,0.125)"
6002149,6002381,0.03125,"[0,0.125)"
6002149,6002382,0.03125,"[0,0.125)"
6002149,6002408,0.125,"[0.125,0.25)"
6002149,6002409,0.25,"[0.25,0.5)"
6002149,6002460,0.03125,"[0,0.125)"
6002149,6002463,0.0625,"[0,0.125)"
6002149,6002464,0.03125,"[0,0.125)"
6002149,6002465,0.015625,"[0,0.125)"
6002149,6002466,0.015625,"[0,0.125)"
6002149,6002723,0.25,"[0.25,0.5)"
6002149,6002813,0.125,"[0.125,0.25)"
6002149,6002814,0.125,"[0.125,0.25)"
6002149,6002815,0.25,"[0.25,0.5)"
6002149,6002816,0.25,"[0.25,0.5)"
6002150,6002059,0.125,"[0.125,0.25)"
6002150,6002061,0.0625,"[0,0.125)"
6002150,6002063,0.0625,"[0,0.125)"
6002150,6002065,0.03125,"[0,0.125)"
6002150,6002066,0.03125,"[0,0.125)"
6002150,6002067,0.03125,"[0,0.125)"
6002150,6002122,0.125,"[0.125,0.25)"
6002150,6002123,0.0625,"[0,0.125)"
6002150,6002152,0.5,"[0.5,1)"
6002150,6002188,0.25,"[0.25,0.5)"
6002150,6002189,0.125,"[0.125,0.25)"
6002150,6002190,0.0625,"[0,0.125)"
6002150,6002220,0.5,"[0.5,1)"
6002150,6002221,0.25,"[0.25,0.5)"
6002150,6002222,0.25,"[0.25,0.5)"
6002150,6002490,0.5,"[0.5,1)"
6002150,6002491,0.5,"[0.5,1)"
6002150,6002492,0.25,"[0.25,0.5)"
6002150,6002494,0.25,"[0.25,0.5)"
6002150,6002495,0.125,"[0.125,0.25)"
6002150,6002496,0.125,"[0.125,0.25)"
6002150,6002817,0.5,"[0.5,1)"
6002150,6002844,0.25,"[0.25,0.5)"
6002150,6002845,0.25,"[0.25,0.5)"
6002151,6002152,0.5,"[0.5,1)"
6002151,6002818,0.5,"[0.5,1)"
6002151,6002819,0.5,"[0.5,1)"
6002152,6002059,0.0625,"[0,0.125)"
6002152,6002061,0.03125,"[0,0.125)"
6002152,6002063,0.03125,"[0,0.125)"
6002152,6002065,0.015625,"[0,0.125)"
6002152,6002066,0.015625,"[0,0.125)"
6002152,6002067,0.015625,"[0,0.125)"
6002152,6002122,0.0625,"[0,0.125)"
6002152,6002123,0.03125,"[0,0.125)"
6002152,6002150,0.5,"[0.5,1)"
6002152,6002151,0.5,"[0.5,1)"
6002152,6002188,0.125,"[0.125,0.25)"
6002152,6002189,0.0625,"[0,0.125)"
6002152,6002190,0.03125,"[0,0.125)"
6002152,6002220,0.25,"[0.25,0.5)"
6002152,6002221,0.125,"[0.125,0.25)"
6002152,6002222,0.125,"[0.125,0.25)"
6002152,6002490,0.25,"[0.25,0.5)"
6002152,6002491,0.25,"[0.25,0.5)"
6002152,6002492,0.125,"[0.125,0.25)"
6002152,6002494,0.125,"[0.125,0.25)"
6002152,6002495,0.0625,"[0,0.125)"
6002152,6002496,0.0625,"[0,0.125)"
6002152,6002817,0.25,"[0.25,0.5)"
6002152,6002818,0.25,"[0.25,0.5)"
6002152,6002819,0.25,"[0.25,0.5)"
6002152,6002844,0.125,"[0.125,0.25)"
6002152,6002845,0.125,"[0.125,0.25)"
6002153,6002017,0.5,"[0.5,1)"
6002153,6002019,0.25,"[0.25,0.5)"
6002153,6002020,0.25,"[0.25,0.5)"
6002153,6002021,0.25,"[0.25,0.5)"
6002153,6002056,0.25,"[0.25,0.5)"
6002153,6002057,0.125,"[0.125,0.25)"
6002153,6002058,0.125,"[0.125,0.25)"
6002153,6002156,0.5,"[0.5,1)"
6002153,6002158,0.5,"[0.5,1)"
6002153,6002159,0.25,"[0.25,0.5)"
6002153,6002160,0.25,"[0.25,0.5)"
6002153,6002374,0.25,"[0.25,0.5)"
6002153,6002375,0.125,"[0.125,0.25)"
6002153,6002376,0.125,"[0.125,0.25)"
6002153,6002427,0.5,"[0.5,1)"
6002153,6002428,0.25,"[0.25,0.5)"
6002153,6002429,0.25,"[0.25,0.5)"
6002153,6002482,0.5,"[0.5,1)"
6002153,6002483,0.25,"[0.25,0.5)"
6002153,6002485,0.125,"[0.125,0.25)"
6002153,6002489,0.5,"[0.5,1)"
6002153,6002492,0.25,"[0.25,0.5)"
6002153,6002494,0.25,"[0.25,0.5)"
6002153,6002495,0.125,"[0.125,0.25)"
6002153,6002496,0.125,"[0.125,0.25)"
6002153,6002711,0.5,"[0.5,1)"
6002153,6002712,0.5,"[0.5,1)"
6002154,6002820,0.5,"[0.5,1)"
6002154,6002821,0.5,"[0.5,1)"
6002155,6002156,0.5,"[0.5,1)"
6002155,6002158,0.5,"[0.5,1)"
6002155,6002159,0.25,"[0.25,0.5)"
6002155,6002160,0.25,"[0.25,0.5)"
6002155,6002822,0.5,"[0.5,1)"
6002155,6002823,0.5,"[0.5,1)"
6002156,6002017,0.25,"[0.25,0.5)"
6002156,6002019,0.125,"[0.125,0.25)"
6002156,6002020,0.125,"[0.125,0.25)"
6002156,6002021,0.125,"[0.125,0.25)"
6002156,6002056,0.125,"[0.125,0.25)"
6002156,6002057,0.0625,"[0,0.125)"
6002156,6002058,0.0625,"[0,0.125)"
6002156,6002153,0.5,"[0.5,1)"
6002156,6002155,0.5,"[0.5,1)"
6002156,6002158,0.5,"[0.5,1)"
6002156,6002159,0.5,"[0.5,1)"
6002156,6002160,0.5,"[0.5,1)"
6002156,6002374,0.125,"[0.125,0.25)"
6002156,6002375,0.0625,"[0,0.125)"
6002156,6002376,0.0625,"[0,0.125)"
6002156,6002427,0.25,"[0.25,0.5)"
6002156,6002428,0.125,"[0.125,0.25)"
6002156,6002429,0.125,"[0.125,0.25)"
6002156,6002482,0.25,"[0.25,0.5)"
6002156,6002483,0.125,"[0.125,0.25)"
6002156,6002485,0.0625,"[0,0.125)"
6002156,6002489,0.25,"[0.25,0.5)"
6002156,6002492,0.125,"[0.125,0.25)"
6002156,6002494,0.125,"[0.125,0.25)"
6002156,6002495,0.0625,"[0,0.125)"
6002156,6002496,0.0625,"[0,0.125)"
6002156,6002711,0.25,"[0.25,0.5)"
6002156,6002712,0.25,"[0.25,0.5)"
6002156,6002822,0.25,"[0.25,0.5)"
6002156,6002823,0.25,"[0.25,0.5)"
6002157,6002159,0.5,"[0.5,1)"
6002157,6002160,0.5,"[0.5,1)"
6002157,6002556,0.25,"[0.25,0.5)"
6002157,6002557,0.125,"[0.125,0.25)"
6002157,6002558,0.125,"[0.125,0.25)"
6002157,6003104,0.5,"[0.5,1)"
6002157,6003105,0.5,"[0.5,1)"
6002158,6002017,0.25,"[0.25,0.5)"
6002158,6002019,0.125,"[0.125,0.25)"
6002158,6002020,0.125,"[0.125,0.25)"
6002158,6002021,0.125,"[0.125,0.25)"
6002158,6002056,0.125,"[0.125,0.25)"
6002158,6002057,0.0625,"[0,0.125)"
6002158,6002058,0.0625,"[0,0.125)"
6002158,6002153,0.5,"[0.5,1)"
6002158,6002155,0.5,"[0.5,1)"
6002158,6002156,0.5,"[0.5,1)"
6002158,6002159,0.25,"[0.25,0.5)"
6002158,6002160,0.25,"[0.25,0.5)"
6002158,6002374,0.125,"[0.125,0.25)"
6002158,6002375,0.0625,"[0,0.125)"
6002158,6002376,0.0625,"[0,0.125)"
6002158,6002427,0.25,"[0.25,0.5)"
6002158,6002428,0.125,"[0.125,0.25)"
6002158,6002429,0.125,"[0.125,0.25)"
6002158,6002482,0.25,"[0.25,0.5)"
6002158,6002483,0.125,"[0.125,0.25)"
6002158,6002485,0.0625,"[0,0.125)"
6002158,6002489,0.25,"[0.25,0.5)"
6002158,6002492,0.125,"[0.125,0.25)"
6002158,6002494,0.125,"[0.125,0.25)"
